Run 1: Wavelength (nm),Run 1: Intensity (rel),Run 2: Wavelength (nm),Run 2: Intensity (rel),Run 3: Wavelength (nm),Run 3: Intensity (rel),Run 4: Wavelength (nm),Run 4: Intensity (rel)
769.1,0.01611833619,769.1,0.01839455112,769.1,0.03871725812,769.1,0.04507218628
769.7,0.01645655102,769.7,0.01742543281,769.7,0.03646072586,769.7,0.03949219489
770.4,0.01592949312,770.4,0.01848881424,770.4,0.03716992171,770.4,0.03821533491
771.1,0.01604868096,771.1,0.01648435972,771.1,0.02396920801,771.1,0.02219470707
771.7,0.01605022885,771.7,0.01708499495,771.7,0.02290541423,771.7,0.02416663848
772.4,0.01595503337,772.4,0.0170335787,772.4,0.02803096607,772.4,0.02864293088
773.1,0.01589930919,773.1,0.01776976585,773.1,0.03264073911,773.1,0.03510976545
773.7,0.01614232854,773.7,0.01648046455,773.7,0.02619350409,773.7,0.02920368118
774.4,0.01570969217,774.4,0.01596474404,774.4,0.02305047701,774.4,0.02070180044
775.1,0.01571588375,775.1,0.01535164427,775.1,0.02000415847,775.1,0.02100200009
775.7,0.01575922478,775.7,0.01739816662,775.7,0.02168043957,775.7,0.02703269555
776.4,0.01605951621,776.4,0.01685206378,776.4,0.02174491192,776.4,0.02259847965
777.1,0.01555025909,777.1,0.01593591978,777.1,0.01433059165,777.1,0.01880188457
777.7,0.01570659639,777.7,0.0151257244,777.7,0.01397599372,777.7,0.01177187222
778.4,0.01617019063,778.4,0.01658173898,778.4,0.0222929269,778.4,0.02407520301
779.1,0.01529872632,779.1,0.01604031034,779.1,0.01765091768,779.1,0.01987645368
779.7,0.01603474991,779.7,0.01779781107,779.7,0.03655743439,779.7,0.03754534754
780.4,0.01531884894,780.4,0.01492784976,780.4,0.01358915962,780.4,0.01442997426
781.1,0.01527628186,781.1,0.01637763206,781.1,0.02492017517,781.1,0.0276209574
781.7,0.01540166127,781.7,0.01606368136,781.7,0.0221639822,781.7,0.02235896725
782.4,0.01527318607,782.4,0.01753995081,782.4,0.02635468496,782.4,0.03025963952
783.1,0.01552549279,783.1,0.01471751058,783.1,0.01047836872,783.1,0.01007424722
783.7,0.01543261915,783.7,0.016307519,783.7,0.02430768784,783.7,0.02040645577
784.4,0.01579714818,784.4,0.01527841507,784.4,0.01528155881,784.4,0.0163703483
785.1,0.015639263,785.1,0.01617508322,785.1,0.01729631976,785.1,0.0173033138
785.7,0.01537070339,785.7,0.01564923526,785.7,0.01541050351,785.7,0.01594310998
786.4,0.01556805987,786.4,0.01484994636,786.4,0.006996861808,786.4,0.009526443544
787.1,0.01514316297,787.1,0.0150065322,787.1,0.009656346255,787.1,0.009270747882
787.7,0.01611601434,787.7,0.01611431857,787.7,0.01940778923,787.7,0.01885367104
788.4,0.01536218997,788.4,0.01679363623,788.4,0.02622574026,788.4,0.02533749804
789.1,0.01549376096,789.1,0.01491460619,789.1,0.01447565443,789.1,0.01621175226
789.7,0.01521049636,789.7,0.01559859805,789.7,0.01629699833,789.7,0.01452464639
790.4,0.01603397596,790.4,0.01648435972,790.4,0.0185374125,790.4,0.02245687604
791.1,0.01626770796,791.1,0.01703046257,791.1,0.02632244879,791.1,0.02718400912
791.7,0.0161283975,791.7,0.01686219122,791.7,0.01947226158,791.7,0.0220077903
792.4,0.01533664972,792.4,0.01639399178,792.4,0.02122913312,792.4,0.02026242466
793.1,0.01540398311,793.1,0.01543577994,793.1,0.01595851849,793.1,0.01609604188
793.7,0.01580179187,793.7,0.01698294149,793.7,0.02651586584,793.7,0.02795595108
794.4,0.01615084196,794.4,0.01777444005,794.4,0.02730565213,794.4,0.02975310318
795.1,0.0158319758,795.1,0.0159663021,795.1,0.026177386,795.1,0.02191392734
795.7,0.01584281106,795.7,0.01612522504,795.7,0.02153537678,795.7,0.02068966299
796.4,0.01619882667,796.4,0.01557133186,796.4,0.0217771481,796.4,0.02127468818
797.1,0.01595967705,797.1,0.01704682228,797.1,0.02780531284,797.1,0.02791953873
797.7,0.01676845166,797.7,0.01734752941,797.7,0.02461393151,797.7,0.02779573671
798.4,0.01571975348,798.4,0.0165295437,798.4,0.02010086699,798.4,0.01945326118
799,0.01612220592,799,0.0163830853,799,0.02314718554,799,0.02504781752
799.7,0.01572594506,799.7,0.01597876665,799.7,0.02098736181,799.7,0.0201442868
800.4,0.01591943181,800.4,0.01718938551,800.4,0.02624185835,800.4,0.02807651644
801,0.0155734775,801,0.01654122921,801,0.01876306572,801,0.02067590721
801.7,0.01528634317,801.7,0.01662770198,801.7,0.02324389407,801.7,0.02220522619
802.3,0.01584126316,802.3,0.01655914699,802.3,0.02321165789,802.3,0.02320535226
803,0.01541559232,803,0.01715744511,803,0.02914311411,803,0.02914703973
803.7,0.01577857346,803.7,0.01570532571,803.7,0.01653876964,803.7,0.017888339
804.3,0.01569498718,804.3,0.01524959081,804.3,0.01334738831,804.3,0.01445424917
805,0.01517953848,805,0.01651941625,805,0.02437216019,805,0.0236010332
805.6,0.01539159996,805.6,0.01523868434,805.6,0.01157439867,805.6,0.01132359564
806.3,0.01587763867,806.3,0.01713641119,806.3,0.02759577771,806.3,0.02803605827
807,0.01601385334,807,0.01663081812,807,0.02570996146,807,0.02394007271
807.6,0.01582268843,807.6,0.01586346961,807.6,0.01702231227,807.6,0.01645288298
808.3,0.0158962134,808.3,0.01544512835,808.3,0.01724796549,808.3,0.01876547222
808.9,0.01641553183,808.9,0.01642904831,808.9,0.02205115559,808.9,0.01971138433
809.6,0.01534825893,809.6,0.01744179253,809.6,0.02859509913,809.6,0.02953220155
810.3,0.0162553248,810.3,0.01735921492,810.3,0.0292881769,810.3,0.02776822515
810.9,0.01555180699,810.9,0.0164929291,810.9,0.02287317805,810.9,0.02123908499
811.6,0.01605487253,811.6,0.01505716941,811.6,0.01368586814,811.6,0.01255352414
812.3,0.01594806785,812.3,0.01652019529,812.3,0.02266364291,812.3,0.02460844174
812.9,0.01566325535,812.9,0.01600836994,812.9,0.02366296434,812.9,0.02202640106
813.6,0.01595658126,813.6,0.01600759091,813.6,0.01708678462,813.6,0.0184466618
814.2,0.01574993742,814.2,0.01545291869,814.2,0.0180216337,814.2,0.01886095351
814.9,0.01555258093,814.9,0.01598188279,814.9,0.02064888197,814.9,0.02309692435
815.6,0.01537612102,815.6,0.01682479759,815.6,0.02388861757,815.6,0.02419334088
816.2,0.01565396799,816.2,0.01613535249,816.2,0.02140643208,816.2,0.02133294796
816.9,0.0167444593,816.9,0.01704915938,816.9,0.02973948335,816.9,0.02825615073
817.5,0.01533897156,817.5,0.01540929279,817.5,0.01558780248,817.5,0.01694890019
818.2,0.01585287237,818.2,0.01525971825,818.2,0.01494307897,818.2,0.01544223778
818.9,0.01553942383,818.9,0.01467855888,818.9,0.01123591884,818.9,0.01061881425
819.5,0.01496515517,819.5,0.01465285076,819.5,0.01068790386,819.5,0.01281407478
820.2,0.01570040481,820.2,0.01562508521,820.2,0.01358915962,820.2,0.01496240384
820.8,0.01585287237,820.8,0.01552303175,820.8,0.02161596722,820.8,0.02028346292
821.5,0.0153559984,821.5,0.01577855491,821.5,0.01765091768,821.5,0.0158694761
822.2,0.01601385334,822.2,0.01629349639,822.2,0.01434670973,822.2,0.01820714941
822.8,0.01536683365,822.8,0.01549654459,822.8,0.01989133185,822.8,0.01894348818
823.5,0.01579095661,823.5,0.01594838432,823.5,0.02111630651,823.5,0.01857693713
824.1,0.0159852173,824.1,0.01578712428,824.1,0.0210034799,824.1,0.02279429721
824.8,0.01557270356,824.8,0.01548096391,824.8,0.01483025236,824.8,0.01794659877
825.5,0.01584745474,825.5,0.01694165269,825.5,0.02724117978,825.5,0.02995539405
826.1,0.0159225276,826.1,0.01554406567,826.1,0.0175058549,826.1,0.01708483966
826.8,0.01546357703,826.8,0.01621559299,826.8,0.02042322874,826.8,0.02018393581
827.4,0.01618644352,827.4,0.01655447278,827.4,0.01976238715,827.4,0.01982628555
828.1,0.01588537814,828.1,0.0153158087,828.1,0.01474966192,828.1,0.01392505625
828.8,0.01562146222,828.8,0.01510624855,828.8,0.01246089349,828.8,0.01485721258
829.4,0.01582423633,829.4,0.01530100706,829.4,0.01415329268,829.4,0.01323564896
830.1,0.01586138578,830.1,0.01502756612,830.1,0.0123158307,830.1,0.01463792928
830.7,0.0155866346,830.7,0.01542019926,830.7,0.009414574942,830.7,0.01274044091
831.4,0.01516405954,831.4,0.01510702759,831.4,0.009607991993,831.4,0.01155258891
832.1,0.01521823583,832.1,0.01551913658,832.1,0.01847294015,832.1,0.01698612171
832.7,0.01562223616,832.7,0.01582451791,832.7,0.01457236296,832.7,0.01675065514
833.4,0.01614852012,833.4,0.01619923327,833.4,0.0164581792,833.4,0.01613569089
834,0.01505338512,834,0.01548563812,834,0.01537826734,834,0.0132858171
834.7,0.01503403645,834.7,0.01637139979,834.7,0.02248634395,834.7,0.02288249603
835.4,0.01602081886,835.4,0.01573181287,835.4,0.01615193554,835.4,0.01956654407
836,0.01532736236,836,0.01475334615,836,0.01033330593,836,0.009716596963
836.7,0.01604326333,836.7,0.01639477081,836.7,0.02095512563,836.7,0.02359779655
837.3,0.01580024397,837.3,0.01670404732,837.3,0.02467840386,837.3,0.02643472373
838,0.01550691806,838,0.01671495379,838,0.0252747731,838,0.02389880537
838.7,0.0157019527,838.7,0.01552770596,838.7,0.01255760202,838.7,0.01638005826
839.3,0.0149163965,839.3,0.01505716941,839.3,0.01117144649,839.3,0.0128779987
840,0.01520275689,840,0.0159663021,840,0.02098736181,840,0.02164366673
840.6,0.01592175365,840.6,0.01509845821,840.6,0.01142933589,840.6,0.01335055017
841.3,0.01544268046,841.3,0.01548563812,841.3,0.01404046607,841.3,0.01414919453
842,0.01532813631,842,0.01548252198,842,0.01441118208,842,0.01504493851
842.6,0.01572052743,842.6,0.01440044374,842.6,0.01268654672,842.6,0.009324961836
843.3,0.01558276487,843.3,0.01537813142,843.3,0.01637758877,843.3,0.01855832637
843.9,0.01519811321,843.9,0.01478996074,843.9,0.01354080536,843.9,0.01553610075
844.6,0.01561372275,844.6,0.01513507281,844.6,0.01267042863,844.6,0.0127072652
845.3,0.01516870322,845.3,0.01602317159,845.3,0.01976238715,845.3,0.0176512541
845.9,0.01567796035,845.9,0.01560405129,845.9,0.01621640789,845.9,0.0177111322
846.6,0.01611911013,846.6,0.01567883855,846.6,0.01781209856,846.6,0.01745462737
847.3,0.0150084962,847.3,0.01584788893,847.3,0.0140082299,847.3,0.01531519912
847.9,0.01622591482,847.9,0.01520908104,847.9,0.01963344245,847.9,0.01639866902
848.6,0.01524687187,848.6,0.01543967511,848.6,0.01715125697,848.6,0.01677088423
849.2,0.01551388358,849.2,0.01543889608,849.2,0.01673218669,849.2,0.01687364799
849.9,0.01562533195,849.9,0.01598110375,849.9,0.01661936008,849.9,0.01618100405
850.6,0.01548137781,850.6,0.01506418072,850.6,0.01126815501,850.6,0.01083000592
851.2,0.01552007516,851.2,0.01432955164,851.2,0.01188064234,851.2,0.01033075205
851.9,0.01488543862,851.9,0.01556120442,851.9,0.0185374125,851.9,0.01824113428
852.5,0.01507582959,852.5,0.01659342449,852.5,0.02185773854,852.5,0.02696877163
853.2,0.01566093351,853.2,0.0156983144,853.2,0.01608746319,853.2,0.0167093878
